ID,Title,Center
1519,Yiling Chen,EconCS Group
1523,Barbara J. Grosz,Edmond Safra Center for Ethics
1865,Cynthia Dwork,Edmond Safra Center for Ethics
1864,Flavio P. Calmon,Edmond Safra Center for Ethics
1822,James Mickens,Edmond Safra Center for Ethics
1605,Stephen Chong,Embedded EthiCS
1822,James Mickens,Embedded EthiCS
1569,Radhika Nagpal,Embedded EthiCS
1667,Conor J Walsh,Harvard Biodesign
1579,David Mooney,Harvard Biodesign
1715,Jennifer Lewis,Harvard Biodesign
1598,Katia Bertoldi,Harvard Biodesign
1532,Maurice Smith,Harvard Biodesign
1555,Robert D. Howe,Harvard Biodesign
1537,Robert J. Wood,Harvard Biodesign
2711,Cengiz Pehlevan,Harvard Brain Science Initiative
1802,Demba Ba,Harvard Brain Science Initiative
1566,Hanspeter Pfister,Harvard Brain Science Initiative
2715,Jia Liu,Harvard Brain Science Initiative
1558,L Mahadevan,Harvard Brain Science Initiative
1536,Leslie G. Valiant,Harvard Brain Science Initiative
1588,Sharad Ramanathan,Harvard Brain Science Initiative
1525,Michael B. McElroy,"Harvard-China Project on Energy, Economy and Environment"
1559,Daniel J. Jacob,"Harvard-China Project on Energy, Economy and Environment"
1531,Steven C. Wofsy,"Harvard-China Project on Energy, Economy and Environment"
1727,David Parkes,Harvard Data Science Initiative
1566,Hanspeter Pfister,Harvard Data Science Initiative
1865,Cynthia Dwork,Harvard Data Science Initiative
1802,Demba Ba,Harvard Data Science Initiative
2929,Elena Leah Glassman,Harvard Data Science Initiative
1759,Stratos Idreos,Harvard Data Science Initiative
1865,Cynthia Dwork,Harvard Privacy Tools Project
1521,Salil P. Vadhan,Harvard Privacy Tools Project
1605,Stephen Chong,Harvard Privacy Tools Project
1552,Vinothan N. Manoharan,Harvard Quantitative Biology (QBio)
1795,Ariel Amir,Harvard Quantitative Biology (QBio)
1580,Federico Capasso,Harvard Quantitative Biology (QBio)
1600,Philippe Cluzel,Harvard Quantitative Biology (QBio)
1824,Frank J. Doyle,Harvard Quantitative Biology (QBio)
1887,Doeke Romke Hekstra,Harvard Quantitative Biology (QBio)
1551,Efthimios Kaxiras,Harvard Quantitative Biology (QBio)
1715,Jennifer Lewis,Harvard Quantitative Biology (QBio)
1764,Na Li,Harvard Quantitative Biology (QBio)
1558,L Mahadevan,Harvard Quantitative Biology (QBio)
1561,Eric Mazur,Harvard Quantitative Biology (QBio)
1734,Daniel Needleman,Harvard Quantitative Biology (QBio)
1627,David R. Nelson,Harvard Quantitative Biology (QBio)
2711,Cengiz Pehlevan,Harvard Quantitative Biology (QBio)
13586,Maxim Prigozhin,Harvard Quantitative Biology (QBio)
1760,Christopher Rycroft,Harvard Quantitative Biology (QBio)
1544,David A. Weitz,Harvard Quantitative Biology (QBio)
1545,Evelyn Hu,Harvard Quantum Initiative (HQI)
1835,Boaz Barak,Harvard Quantum Initiative (HQI)
1580,Federico Capasso,Harvard Quantum Initiative (HQI)
1538,Donhee Ham,Harvard Quantum Initiative (HQI)
1551,Efthimios Kaxiras,Harvard Quantum Initiative (HQI)
1799,Philip Kim,Harvard Quantum Initiative (HQI)
1541,Marko Loncar,Harvard Quantum Initiative (HQI)
1832,Madhu Sudan,Harvard Quantum Initiative (HQI)
1536,Leslie G. Valiant,Harvard Quantum Initiative (HQI)
1762,Amir Yacoby,Harvard Quantum Initiative (HQI)
1617,David C. Bell,Harvard Quantum Initiative (HQI)
2414,Boris Kozinsky,Harvard Quantum Initiative (HQI)
1764,Na Li,Harvard Quantum Initiative (HQI)
1823,Xin Li,Harvard Quantum Initiative (HQI)
1651,Yue Lu,Harvard Quantum Initiative (HQI)
1561,Eric Mazur,Harvard Quantum Initiative (HQI)
1889,Prineha Narang,Harvard Quantum Initiative (HQI)
2728,Vijay Janapa Reddi,Harvard Quantum Initiative (HQI)
1563,Gu-Yeon Wei,Harvard Quantum Initiative (HQI)
1585,Robert M. Westervelt,Harvard Quantum Initiative (HQI)
1534,Todd Zickler,Harvard Quantum Initiative (HQI)
1715,Jennifer Lewis,Harvard Stem Cell Institute
1577,Kit Parker,Harvard Stem Cell Institute
1588,Sharad Ramanathan,Harvard Stem Cell Institute
1527,Joanna Aizenberg,Harvard University Center for the Environment (HUCE)
1732,James G. Anderson,Harvard University Center for the Environment (HUCE)
1584,Michael J. Aziz,Harvard University Center for the Environment (HUCE)
1556,Michael P. Brenner,Harvard University Center for the Environment (HUCE)
1580,Federico Capasso,Harvard University Center for the Environment (HUCE)
1731,David Clarke,Harvard University Center for the Environment (HUCE)
1524,Brian F. Farrell,Harvard University Center for the Environment (HUCE)
1554,Cynthia Friend,Harvard University Center for the Environment (HUCE)
1741,Lene V. Hau,Harvard University Center for the Environment (HUCE)
1559,Daniel J. Jacob,Harvard University Center for the Environment (HUCE)
1551,Efthimios Kaxiras,Harvard University Center for the Environment (HUCE)
1815,Frank N Keutsch,Harvard University Center for the Environment (HUCE)
2414,Boris Kozinsky,Harvard University Center for the Environment (HUCE)
1572,Zhiming Kuang,Harvard University Center for the Environment (HUCE)
1715,Jennifer Lewis,Harvard University Center for the Environment (HUCE)
1764,Na Li,Harvard University Center for the Environment (HUCE)
1823,Xin Li,Harvard University Center for the Environment (HUCE)
1558,L Mahadevan,Harvard University Center for the Environment (HUCE)
1567,Scot T. Martin,Harvard University Center for the Environment (HUCE)
1561,Eric Mazur,Harvard University Center for the Environment (HUCE)
2544,Kaighin A McColl,Harvard University Center for the Environment (HUCE)
1525,Michael B. McElroy,Harvard University Center for the Environment (HUCE)
1889,Prineha Narang,Harvard University Center for the Environment (HUCE)
1583,Venkatesh Narayanamurti,Harvard University Center for the Environment (HUCE)
1548,James R. Rice,Harvard University Center for the Environment (HUCE)
1636,Daniel P. Schrag,Harvard University Center for the Environment (HUCE)
1607,Elsie M Sunderland,Harvard University Center for the Environment (HUCE)
1553,Zhigang Suo,Harvard University Center for the Environment (HUCE)
1571,Eli Tziperman,Harvard University Center for the Environment (HUCE)
1578,Joost J. Vlassak,Harvard University Center for the Environment (HUCE)
1544,David A. Weitz,Harvard University Center for the Environment (HUCE)
1531,Steven C. Wofsy,Harvard University Center for the Environment (HUCE)
1537,Robert J. Wood,Harvard University Center for the Environment (HUCE)
1807,Robin Wordsworth,Harvard University Center for the Environment (HUCE)
2414,Boris Kozinsky,Integrated Mesoscale Architectures for Sustainable Catalysis
1554,Cynthia Friend,Integrated Mesoscale Architectures for Sustainable Catalysis
1617,David C. Bell,Integrated Mesoscale Architectures for Sustainable Catalysis
1551,Efthimios Kaxiras,Integrated Mesoscale Architectures for Sustainable Catalysis
1527,Joanna Aizenberg,Integrated Mesoscale Architectures for Sustainable Catalysis
1795,Ariel Amir,Kavli Institute for Bionano Science & Technology
1734,Daniel Needleman,Kavli Institute for Bionano Science & Technology
1544,David A. Weitz,Kavli Institute for Bionano Science & Technology
1824,Frank J. Doyle,Kavli Institute for Bionano Science & Technology
1598,Katia Bertoldi,Kavli Institute for Bionano Science & Technology
