ID,Title,Area,School,Center,Collaboration
1650,Donald Elliot Ingber,Bioengineering,Harvard Medical School,Wyss Institute for Biologically Inspired Engineering,"Kit Parker, David Mooney, Eric Mazur, Joanna Aizenberg, David A. Weitz, Robert M. Westervelt, Radhika Nagpal, L Mahadevan, Steven C. Wofsy, Demba Ba, Katia Bertoldi, Samir Mitragotri"
1538,Donhee Ham,Applied Physics,,"Center for Integrated Quantum Materials (CIQM), Harvard Quantum Initiative (HQI)",
1685,Eddie Kohler,Computer Science,,Institute for Applied Computational Science (IACS),James Mickens
1551,Efthimios Kaxiras,Applied Physics,,"Institute for Applied Computational Science (IACS), Center for Integrated Quantum Materials (CIQM), Condensed Matter Theory Group, Harvard Quantitative Biology (QBio), Harvard Quantum Initiative (HQI), Harvard University Center for the Environment (HUCE), Integrated Mesoscale Architectures for Sustainable Catalysis","Cynthia Friend, Philip Kim, Joost J. Vlassak, Robert M. Westervelt, Amir Yacoby, Michael J. Aziz, Zhigang Suo, Hanspeter Pfister, Jenny Hoffman, Pavlos Protopapas, Federico Capasso, Boris Kozinsky, Joanna Aizenberg, Prineha Narang, Eric Mazur"
2929,Elena Leah Glassman,Computer Science,,"Center for Research on Computation and Society (CRCS), Harvard Data Science Initiative","Stephen Chong, Finale Doshi-Velez"
1571,Eli Tziperman,Environmental Science & Engineering,,Harvard University Center for the Environment (HUCE),"Daniel P. Schrag, Steven C. Wofsy, Peter John Huybers, Marianna Katherine Linz, Daniel J. Jacob"
1607,Elsie M Sunderland,Environmental Science & Engineering,Harvard T.H. Chan School of Public Health,Harvard University Center for the Environment (HUCE),"Daniel J. Jacob, Steven C. Wofsy"
1561,Eric Mazur,Applied Physics,,"Harvard Quantitative Biology (QBio), Harvard Quantum Initiative (HQI), Harvard University Center for the Environment (HUCE), Learning Incubator (LInc)","Marko Loncar, Michael J. Aziz, Donald Elliot Ingber, Cynthia Friend, Salil P. Vadhan, David Mooney, Efthimios Kaxiras, Joanna Aizenberg, Todd Zickler"
1545,Evelyn Hu,Electrical Engineering,,"Center for Integrated Quantum Materials (CIQM), Harvard Quantum Initiative (HQI)",
1580,Federico Capasso,Applied Physics,,"Harvard Quantitative Biology (QBio), Harvard Quantum Initiative (HQI), Harvard University Center for the Environment (HUCE), Materials Research Science and Engineering Center (MRSEC)","Marko Loncar, Philip Kim, Venkatesh Narayanamurti, Michael J. Aziz, David Clarke, Vinothan N. Manoharan, Joanna Aizenberg, Todd Zickler, Efthimios Kaxiras, Amir Yacoby, David A. Weitz, Jennifer Lewis, Kit Parker"
1695,Finale Doshi-Velez,Computer Science,,"Institute for Applied Computational Science (IACS), Berkman Klein Center for Internet and Society, Center for Research on Computation and Society (CRCS)","Susan A Murphy, Krzysztof Z Gajos, Milind Tambe, Ariel Procaccia, Robert J. Wood, Conor J Walsh, David Parkes, Elena Leah Glassman, James H. Waldo, Pavlos Protopapas"
1864,Flavio P. Calmon,Electrical Engineering,,"Center for Research on Computation and Society (CRCS), Edmond Safra Center for Ethics",
1824,Frank J. Doyle,Bioengineering,,"Harvard Quantitative Biology (QBio), Kavli Institute for Bionano Science and Technology",
1815,Frank N Keutsch,Environmental Science & Engineering,,"Harvard University Center for the Environment (HUCE), Materials Research Science and Engineering Center (MRSEC)",
1581,Frans A. Spaepen,Materials Science & Mechanical Engineering,,"Materials Research Science and Engineering Center (MRSEC), Rowland Institute at Harvard",
1563,Gu-Yeon Wei,Electrical Engineering,,Harvard Quantum Initiative (HQI),"David Brooks, Vijay Janapa Reddi, Robert J. Wood, Michael D. Smith, Michael D. Mitzenmacher, Radhika Nagpal"
1575,H.T. Kung,Computer Science,Harvard Business School,Institute for Applied Computational Science (IACS),"Michael D. Smith, Robert J. Wood, Radhika Nagpal, Stuart M. Shieber"
1566,Hanspeter Pfister,Computer Science,,"Institute for Applied Computational Science (IACS), Center for Brain Science (CBS), Harvard Brain Science Initiative, Harvard Data Science Initiative, Learning Incubator (LInc)","Krzysztof Z Gajos, Efthimios Kaxiras, Todd Zickler, Michael D. Mitzenmacher, Stuart M. Shieber, Radhika Nagpal"
1532,Harry R. Lewis,Computer Science,,"Berkman Klein Center for Internet and Society, Center for Research on Computation and Society (CRCS), Theory of Computation",
1732,James G. Anderson,Environmental Science & Engineering,,Harvard University Center for the Environment (HUCE),
1660,James H. Waldo,Computer Science,"Harvard Business School, Harvard Kennedy School of Government","Institute for Applied Computational Science (IACS), Center for Research on Computation and Society (CRCS)",Finale Doshi-Velez
1822,James Mickens,Computer Science,,"Berkman Klein Center for Internet and Society, Center for Research on Computation and Society (CRCS), Edmond Safra Center for Ethics, Embedded EthiCS","Eddie Kohler, Stephanie Gil"
1548,James R. Rice,Materials Science & Mechanical Engineering,,Harvard University Center for the Environment (HUCE),Zhigang Suo
1715,Jennifer Lewis,Materials Science & Mechanical Engineering,,"Harvard Biodesign, Harvard Quantitative Biology (QBio), Harvard Stem Cell Institute, Harvard University Center for the Environment (HUCE), Materials Research Science and Engineering Center (MRSEC), Robotics at Harvard, Wyss Institute for Biologically Inspired Engineering","Robert J. Wood, Katia Bertoldi, David Clarke, Joanna Aizenberg, Conor J Walsh, L Mahadevan, Joost J. Vlassak, David A. Weitz, Federico Capasso, Kit Parker, Michael J. Aziz"
1877,Jenny Hoffman,Applied Physics,,Center for Integrated Quantum Materials (CIQM),Efthimios Kaxiras
2622,Jerry X. Mitrovica,Environmental Science & Engineering,,,"Peter John Huybers, Daniel P. Schrag, David A. Weitz"
2715,Jia Liu,Bioengineering,,"Harvard Brain Science Initiative, Materials Research Science and Engineering Center (MRSEC)","Zhigang Suo, Boris Kozinsky"
1527,Joanna Aizenberg,Materials Science & Mechanical Engineering,,"Harvard University Center for the Environment (HUCE), Integrated Mesoscale Architectures for Sustainable Catalysis, Materials Research Science and Engineering Center (MRSEC), Wyss Institute for Biologically Inspired Engineering","Marko Loncar, Katia Bertoldi, Cynthia Friend, Donald Elliot Ingber, L Mahadevan, Federico Capasso, Zhigang Suo, Jennifer Lewis, David A. Weitz, David R. Nelson, Joost J. Vlassak, Efthimios Kaxiras, David Mooney, Eric Mazur, Michael J. Aziz, Vinothan N. Manoharan"
1852,John H. Shaw,Environmental Science & Engineering,,,
2621,John P. Holdren,Environmental Science & Engineering,Harvard Kennedy School of Government,,
1639,Jonathan Zittrain,Computer Science,"Harvard Kennedy School of Government, Harvard Law School","Belfer Center for Science and Internationnal Affairs, Berkman Klein Center for Internet and Society, Center for Research on Computation and Society (CRCS)",
1578,Joost J. Vlassak,Materials Science & Mechanical Engineering,,"Harvard University Center for the Environment (HUCE), Materials Research Science and Engineering Center (MRSEC)","Zhigang Suo, Efthimios Kaxiras, David Mooney, Kit Parker, Robert J. Wood, Jennifer Lewis, Michael J. Aziz, Joanna Aizenberg, Conor J Walsh, Scot T. Martin, Cynthia Friend, David R. Nelson, L Mahadevan"
1875,Joze Bevk,Applied Physics,,,
11701,Julia A. Mundy,Applied Physics,,Center for Integrated Quantum Materials (CIQM),
2544,Kaighin A McColl,Environmental Science & Engineering,,Harvard University Center for the Environment (HUCE),Peter John Huybers
